Make,model,price
Average,,61354
BYD,DOLPHIN,26000
MG,MG4,26995
Fiat,500e,28195
BYD,DOLPHIN,28500
Nissan,Leaf,28995
MG,MG4,29495
Renault,Zoe,29995
MG,ZS,30495
MG,MG5,30995
BYD,DOLPHIN,31000
Fiat,600e,31000
Fiat,500e,31195
Mazda,MX-30,31250
Peugeot,e-208,31595
Citroen,e-C4,31995
ORA,Funky,31995
Peugeot,e-208,32000
Citroen,e-Berlingo,32315
Vauxhall,Corsa,32445
Mini,Electric,32550
Kia,Soul,32845
MG,ZS,32995
Peugeot,e-Rifter,33120
Citroen,e-Berlingo,33315
Volvo,EX30,33795
Vauxhall,Corsa-e,33930
Vauxhall,Combo-e,34085
Abarth,500e,34195
Fiat,500e,34195
Vauxhall,Combo-e,34685
Nissan,Leaf,34945
Hyundai,Kona,34995
Peugeot,e-208,35000
Peugeot,e-Rifter,35120
Vauxhall,Corsa,35475
Jeep,Avenger,35700
Smart,#1,35950
Fisker,Ocean,35970
Peugeot,e-2008,36350
CUPRA,Born,36475
BYD,ATTO,36490
MG,MG4,36495
Vauxhall,Vivaro-e,36995
Renault,Megane,36995
Peugeot,e-308,37000
Citroen,e-SpaceTourer,37045
Volkswagen,ID.3,37115
Abarth,500e,37195
DS,3,37200
Kia,Niro,37295
Honda,e,37395
Vauxhall,Vivaro-e,37835
Citroen,e-SpaceTourer,37885
Peugeot,e-308,38000
Volvo,EX30,38545
Hyundai,Kona,38595
Vauxhall,Mokka-e,38835
Volkswagen,ID.4,38845
Skoda,Enyaq,38970
Kia,Soul,39045
CUPRA,Born,39205
Vauxhall,Astra,39995
Volkswagen,ID.4,40275
Volvo,EX30,40995
CUPRA,Born,41975
Vauxhall,Astra,42000
Vauxhall,Vivaro-e,42735
Peugeot,e-Traveller,42785
Volkswagen,ID.3,42870
Skoda,Enyaq,42925
Tesla,Model,42990
Hyundai,IONIQ,43445
Smart,#1,43450
Vauxhall,Vivaro-e,43575
Peugeot,e-Traveller,43625
Volkswagen,ID.4,44605
Skoda,Enyaq,44825
Polestar,2,44950
Tesla,Model,44990
Kia,EV6,45245
Volkswagen,ID.4,46035
Toyota,bZ4X,46110
Nissan,Ariya,46145
Volvo,XC40,46505
Hyundai,IONIQ,46945
Hyundai,IONIQ,47040
Lexus,UX,47495
Volvo,C40,48355
Polestar,2,48950
Fisker,Ocean,49880
Subaru,Solterra,49995
BMW,i4,49995
CUPRA,Tavascan,50000
Hyundai,IONIQ,50445
Hyundai,IONIQ,50540
Audi,Q4,50630
Volkswagen,ID.5,50710
Skoda,Enyaq,50805
Ford,Mustang,50830
Tesla,Model,50990
Kia,EV6,51745
Volvo,XC40,51755
Nissan,Ariya,51895
Mercedes,EQA,52010
Audi,Q4,52130
Volkswagen,ID.5,52185
Mini,Electric,52500
Skoda,Enyaq,52505
Toyota,bZ4X,52510
Skoda,Enyaq,52670
Volkswagen,ID.4,52865
Polestar,2,52950
Tesla,Model,52990
Volkswagen,ID.7,53000
Mercedes,EQA,53010
BMW,iX1,53245
Volvo,C40,53605
Genesis,GV60,53905
Skoda,Enyaq,54370
Mercedes,EQA,54510
Nissan,Ariya,54595
Polestar,4,55000
CUPRA,Tavascan,55000
Mercedes,EQB,55310
Volkswagen,ID.7,56000
Volkswagen,ID.5,56545
Mercedes,EQB,56810
Audi,Q4,57010
BMW,i4,57890
Polestar,2,57950
Tesla,Model,57990
Genesis,GV60,58365
Audi,Q4,58510
Volkswagen,ID.,58915
Ford,Mustang,59380
Tesla,Model,59990
Kia,EV9,60000
Polestar,4,60000
Fisker,Ocean,60880
Kia,EV6,62645
BMW,iX3,64165
Lexus,RZ,64500
Kia,EV9,65000
Genesis,GV70,65105
Maxus,MIFA,65290
Ford,Mustang,65405
Genesis,GV60,67505
Audi,Q8,67800
Genesis,G80,69805
BMW,iX,69905
Jaguar,I-Pace,69995
Audi,Q8,70300
BMW,i4,71085
BMW,i5,74105
Mercedes,EQE,74345
Ford,Mustang,74540
Mercedes,eVito,76368
Mercedes,EQE,77345
Audi,Q8,77800
Porsche,Taycan,79200
Polestar,3,79900
Porsche,Taycan,80200
Audi,Q8,80300
Porsche,Taycan,83654
Mercedes,eVito,83850
Porsche,Taycan,84654
Polestar,3,85500
Audi,e-tron,87800
Mercedes,EQV,87995
Porsche,Taycan,88200
Lotus,Eletre,89500
Mercedes,EQE,90560
Porsche,Taycan,90700
Porsche,Taycan,91700
Porsche,Taycan,94996
Porsche,Taycan,95200
Porsche,Taycan,95996
Tesla,Model,96000
Volvo,EX90,96255
Audi,SQ8,97500
BMW,i5,97745
Tesla,Model,100000
Audi,SQ8,100000
BMW,i7,100205
Volvo,EX90,100555
BMW,iX,102755
Mercedes,EQS,105610
Mercedes,EQE,108760
Porsche,Taycan,110200
Porsche,Taycan,111200
BMW,i7,113970
Mercedes,EQE,114750
Tesla,Model,115000
Audi,e-tron,119000
Lotus,Eletre,120000
BMW,iX,122775
Tesla,Model,125000
Porsche,Taycan,125800
Porsche,Taycan,126800
Mercedes,EQS,129470
Mercedes,EQE,133860
Maserati,Grecale,135000
Mercedes,EQS,139470
Porsche,Taycan,148300
Porsche,Taycan,149300
Mercedes,EQS,161860
BMW,i7,163315
Maserati,GranTurismo,200000
Rolls-Royce,Spectre,350000
