,station_name,street_address,city,access_days_time,evse_units,latitude,longitude
0,BMW OF DARIEN,138-142 Ledge Rd,Darien,24 Hours,2,-73.4764687,41.072882
2,Town of Beacon Falls - Commuter Lot,105 N Main St,Beacon Falls,24 Hours,1,-73.065583,41.44548100000001
3,OLD SAYBROOK VW,319 Middlesex Turnpike,Old Saybrook,24 Hours,2,-72.3825,41.3102778
4,Fairfield Rail Station,80 Mill Plain Rd,Fairfield,24 Hours,2,-73.264511,41.143125
5,FOUNDRY66,50 Franklin St,Norwich,24 Hours,2,-72.0741188,41.525611
7,GLASTONBURYEV,2327-2333 Main St,Glastonbury,24 Hours,2,-72.6086744,41.711717
9,Mystic Marriott Hotel and Spa,625 North Rd,Groton,24 Hours,1,-72.026147,41.365973
10,Brass Mill Center - Shoppers World,495 Union St,Waterbury,Regular,2,-73.025659,41.550922
11,University of Connecticut Health - Center Garage,263 Farmington Ave,Farmington,24 Hours,4,-72.79061800000001,41.730405
12,D'Addario Nissan,329 Bridgeport Ave,Shelton,Regular,1,-73.106051,41.299792
13,CT RAIL,198 N Cherry St,Wallingford,24 Hours,2,-72.8231924,41.4618954
14,Hampton Inn & Suites Rocky Hill - Hartford South - Tesla Destination,685 Cromwell Ave,Rocky Hill,24 Hours,2,-72.679679,41.650999
16,City of New Haven - Union Station Garage,50 Union Ave,New Haven,24 Hours,3,-72.926722,41.297487000000004
17,Easton Public Library,691 Morehouse Rd,Easton,24 Hours,2,-73.297822,41.251966
19,Greenlots - 92367,204 Stillman Hill Rd,Colebrook,24 Hours,2,-73.138786,41.988528
20,Mystic Diner Restaurant - Tesla Destination,253 Greenmanville  Ave,Mystic,24 Hours,1,-71.961361,41.37356200000001
21,Connecticut Airport Authority - Bradley Airport,Cell Phone Lot,Windsor Locks,24 Hours,4,-72.670609,41.929342
22,University of Connecticut - Motor Pool,9 Discovery Dr,Storrs,Regular,1,-72.261825,41.811817
23,Hammonasset Beach State Park - South,1288 Boston Post Rd,Madison,24 Hours,4,-72.560456,41.263416
24,Schaller Mitsubishi,25 Veterans Dr,New Britain,Regular,1,-72.770648,41.649365
25,Mansfield Public Library,54 Warrenville Rd,Mansfield,24 Hours,1,-72.195701,41.768396
26,WESTLODGE,811 Burr Mountain Rd,Torrington,24 Hours,2,-73.1049768,41.8750604
27,TOWNHALL,100 Bentley Dr,Harwinton,24 Hours,2,-73.070231,41.7640244
28,University of Connecticut - Avery Point,1084 Shennecossett Rd,Groton,24 Hours,2,-72.065994,41.317722
29,Middletown School District - Lawrence Elementary School,Kaplan Dr,Middletown,24 Hours,2,-72.6824246,41.5871612
30,Fairfield Mitsubishi,421 Tunxis Hill Rd,Fairfield,Regular,1,-73.230597,41.176442
31,Gates Nissan,143 Boston Post Rd,North Windham,Regular,1,-72.188445,41.728247
32,Water's Edge Resort and Spa - Tesla Destination,1525 Boston Post Rd,Westbrook,24 Hours,3,-72.43786,41.28006
34,UNION STATION,Union Ave and Union Station,New Haven,24 Hours,10,-72.9270748,41.2975353
35,Torrington Town Hall,140 Main St,Torrington,24 Hours,1,-73.12122300000001,41.803497
36,Crowley Nissan,1451 Farmington Ave,Bristol,Regular,2,-72.894672,41.699374
37,Parthenon Diner Restaurant - Tesla Destination,374 E Main St,Branford,24 Hours,1,-72.781436,41.296212
38,Town of Mansfield - Community Center,10 S Eagleville Rd,Mansfield,24 Hours,1,-72.242231,41.800421
39,Manchester City Nissan,30 Tolland Turnpike,Manchester,Regular,2,-72.507845,41.814316
40,City of Meriden - City Hall,142 E Main St,Meriden,24 Hours,4,-72.797226,41.536236
41,City of New Haven - Sherman Tyler Lot,60 N Frontage Rd,New Haven,24 Hours,2,-72.948514,41.306474
42,City of Meriden - Meriden Public Library,105 Miller St,Meriden,24 Hours,2,-72.796702,41.537218
43,Blogoslawski Parking Garage,10 Franklin Square,New Britain,24 Hours,2,-72.7788286,41.664356600000005
44,Comfort Inn Guilford - Tesla Destination,300 Boston Post Rd,Guilford,24 Hours,2,-72.657682,41.287164
45,Brass Mill Center - Entrance 5,495 Union St,Waterbury,Regular,2,-73.02614,41.549361
46,Town of Simsbury - Town Hall,933 Hopmeadow St,Simsbury,24 Hours,2,-72.489406,41.983904
47,Connecticut Legislative Parking Garage,240 Capitol Ave,Hartford,Regular,5,-72.684758,41.765434
48,Middletown School District - Moody School,300 Country Club Rd,Middletown,24 Hours,2,-72.711926,41.563917
49,Barberino Nissan,505 N Colony St,Wallingford,Regular,1,-72.817586,41.467376
50,CityPlace Garage,185 Asylum St,Hartford,Regular,2,-72.676489,41.766656
